size,text
175,我們
168,總統
162,大家
143,各位
130,網友
121,各位網友
117,大家好
113,今天
106,台灣
90,我是
86,各位網友大家好
69,我是馬英九
58,一個
49,今天我
47,特別
47,這個
47,邀請
44,非常
41,就是
38,一位
33,總統好
31,臺灣
30,今天我們
30,先生
30,兩位
29,他們
26,上的
25,世界
25,國家
24,們的
24,因為
24,特別邀
24,的蔣
24,蔣渭水
23,分享
23,台北
23,灣的
23,特別邀請
23,的蔣渭水
22,方面
21,什麼
21,年的
21,政府
20,希望
20,文化
20,是一
20,民國
20,重要
19,上的蔣渭水
19,大學
19,工作
19,年來
19,我們今
19,的經
18,我們今天
18,所以
18,治國週記
18,的是
18,這是
17,也是
17,百年
17,社會
17,經濟
17,能夠
17,要的
17,題目
16,中華
16,來談
16,台灣的
16,問題
16,在這
16,已經
16,年輕
16,知道
16,衛生
16,觀光
15,一起
15,我們的
15,日本
15,是我
15,時候
15,有一
15,現在
14,了一
14,年前
14,您好
14,教授
14,生活
14,的一
14,第一
14,許多
14,重要的
13,中華民國
13,今天特別
13,他的
13,位是
13,來的
13,個月
13,國際
13,專家
13,年輕人
13,建國
13,影響
13,我要
13,經驗
13,要跟
13,談的
13,請了
13,請到
13,起來
13,過去
12,一方面
12,主題
12,但是
12,十年
12,可以
12,政治
12,是我們
12,民眾
12,的經驗
12,的題目
12,跟我
12,運動
12,重建
11,今年
11,以及
11,司法
11,大的
11,我們特
11,是一個
11,最近
11,當中
11,發展
11,的人
11,網友好
11,邀請了
11,麼樣
10,一年
10,一百年
10,不是
10,今天我們特
10,來分享
10,全球
10,創新
10,北市
10,在我
10,在這個
10,對於
10,很多
10,我們特別
10,所以我
10,是中
10,未來
10,特別請
10,特殊
10,的台
10,要談
10,設計
10,跟各位
10,跟大家
10,跟我們
10,農村
10,這一
10,這些
10,邀請到
10,都知道
9,一下
9,一起來
9,人權
9,今天我們特別
9,今天我要
9,今天要
9,他們的
9,來跟
9,們來
9,協議
9,夢想
9,天的
9,家來
9,怎麼
9,意義
9,成長
9,我特別
9,是台
9,朋友
9,沒有
9,減碳
9,產業
9,的主
9,的成
9,的時
9,的觀
9,看到
9,青年
8,一位是
8,上個
8,中心
8,事長
8,人民
8,位都
8,位非
8,你好
8,來自
8,其實
8,努力
8,協會
8,去年
8,史上
8,因此
8,多的
8,如何
8,學生
8,實力
8,小姐
8,建國一百年
8,建築
8,成立
8,探討
8,是國
8,是在
8,最重
8,會有
8,樣的
8,歷史
8,海洋
8,的台灣
8,的專
8,的影
8,的時候
8,綠色
8,老師
8,而且
8,要跟各位
8,談談
8,請來
8,開始
8,高興
7,一樣
7,上個月
7,世代
7,主要
7,之後
7,也就是
7,今天我們特別邀請
7,今天我特別
7,今天特別邀請
7,今天邀請
7,介紹
7,他是
7,來賓
7,個人
7,們在
7,全民
7,兩位好
7,兩岸
7,分享他
7,可是
7,各位網友好
7,各位都知道
7,同學
7,同時
7,向前
7,地方
7,多人
7,多年
7,夜市
7,家的
7,心的
7,我今天
7,我們一
7,我們今天特別
7,我們來
7,我們要
7,我在
7,推動
7,提出
7,整合
7,旅遊
7,最重要的
7,機會
7,比較
7,特殊的
7,的主題
7,的來
7,的問題
7,的學
7,的工作
7,的年輕
7,的影響
7,的題目是
7,研究
7,臺灣的
7,要談的
7,記憶
7,談一
7,透過
7,這位
7,這次
7,週年
7,都是
7,颱風
7,馬總統
7,高雄
6,一些
6,一個很
6,一定
6,一步
6,中山
6,了一位
6,人口
6,什麼樣的
6,今天我們要
6,今天我要跟
6,今天特別請
6,今天要跟
6,位談
6,來到
6,個國
6,個時候
6,們分享
6,健康
6,傳統
6,兩年
6,共同
6,出現
6,到的
6,到這
6,創意
6,參加
6,叫做
6,台北市
6,史上的
6,國內
6,在台
6,地區
6,大家談
6,學的
6,尤其
6,就在
6,工業
6,建設
6,很特
6,很高興
6,感動
6,我們治國週記
6,我特別邀
6,或者
6,打工
6,改革
6,政策
6,教育
6,有一個
6,有非常
6,期待
6,母親
6,特別邀請了
6,特別邀請到
6,甚至
6,發現
6,發生
6,的年輕人
6,的生
6,的經濟
6,的觀光
6,石斑
6,科技
6,第二
6,組織
6,美食
6,老闆
6,藝術
6,表現
6,請他
6,議題
6,這是我
6,這麼
6,造成
6,達人
6,邁向
6,還原
6,醫生
6,重視
6,長期
6,關心
6,青史
6,麵包
5,一次
5,下一
5,中央大學
5,人物
5,人的
5,今天我特別邀
5,今天我要跟各位
5,今天的
5,來一
5,來在
5,來臺
5,來跟我們
5,個國家
5,們兩位
5,們的經
5,兒童
5,八八
5,其它
5,出國
5,分享一下
5,到台
5,創辦文化協會
5,反思當代意義
5,只是
5,台灣孫中山
5,向大家
5,因為他
5,因為它
5,國家的
5,在台灣
5,在過
5,垃圾
5,報告
5,大學的
5,大家都
5,天就
5,妳好
5,媒體
5,學者
5,安藤
5,家庭
5,對這
5,尤其是
5,就不
5,就要
5,展現
5,工具機
5,師傅
5,弱勢
5,得到
5,怎麼樣
5,成立台灣民眾黨
5,我們分享
5,我們國
5,我們在
5,我們要談
5,我特別邀請
5,我的
5,房價
5,打造
5,政治上的蔣渭水
5,文化上的蔣渭水
5,明年
5,是一位
5,是中華民國
5,是從
5,會上
5,會長
5,本書
5,業的
5,檢察
5,歲的
5,永續
5,治療
5,注意
